lambda,theta,repetition,profile_name,profile_color,profile_marker,profile_line,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request,power_usage_per_request,,,,,
4,0.01,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,8.23E-07,4.040650991,90.73200528,54.07320053,153.6659669,,,,,
4,0.110909091,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,2.29E-06,4.216109198,81.90371975,53.19037197,137.8715405,,,,,
4,0.211818182,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,3.41E-06,4.313571262,80.53760936,53.05376094,137.748692,,,,,
4,0.312727273,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,4.52E-06,4.386382398,80.04144953,53.00414495,137.704137,,,,,
4,0.413636364,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,5.64E-06,4.445870709,79.84835302,52.9848353,122.6867749,,,,,profile_line
4,0.514545455,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,6.80E-06,4.49674996,79.79457517,52.97945752,122.6820216,,,,,
4,0.615454545,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,7.99E-06,4.541501372,79.81421246,52.98142125,122.6838785,,,,,
4,0.716363636,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,9.22E-06,4.58161503,79.87564607,52.98756461,122.6894999,,,,,
4,0.817272727,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,1.05E-05,4.618066134,79.96193357,52.99619336,122.6973611,,,,,
4,0.918181818,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,1.18E-05,4.651533008,80.0632821,53.00632821,137.7067579,,,,,
4,1.019090909,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,1.32E-05,4.682509482,80.17371405,53.0173714,137.7168181,,,,,
4,1.12,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,1.45E-05,4.711368042,80.28943061,53.02894306,137.7273573,,,,,
4,1.220909091,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,1.60E-05,4.738397727,80.40794414,53.04079441,137.7381514,,,,,
4,1.321818182,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,1.74E-05,4.763828094,80.52758942,53.05275894,137.7490504,,,,,
4,1.422727273,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,1.89E-05,4.787845026,80.6472347,53.06472347,137.7599525,,,,,
4,1.523636364,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,2.04E-05,4.810601526,80.7661038,53.07661038,137.7707875,,,,,
4,1.624545455,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,2.20E-05,4.832225319,80.88366295,53.0883663,137.7815074,,,,,
4,1.725454545,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,2.36E-05,4.852824334,80.99954673,53.09995467,137.7920792,,,,,
4,1.826363636,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,2.52E-05,4.872490752,81.11350839,53.11135084,137.8024804,,,,,
4,1.927272727,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,2.68E-05,4.891304046,81.22538586,53.12253859,137.8126965,,,,,
4,2.028181818,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,2.85E-05,4.909333306,81.3350781,53.13350781,137.8227182,,,,,
4,2.129090909,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,3.01E-05,4.926639049,81.44252831,53.14425283,137.8325402,,,,,
4,2.23,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,3.18E-05,4.94327464,81.54771196,53.1547712,137.8421604,,,,,
4,2.330909091,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,3.36E-05,4.95928742,81.65062803,53.1650628,137.8515784,,,,,
4,2.431818182,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,3.53E-05,4.974719621,81.75129263,53.17512926,137.8607956,,,,,
4,2.532727273,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,3.71E-05,4.989609106,81.84973431,53.18497343,137.8698146,,,,,
4,2.633636364,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,3.89E-05,5.003989978,81.94599052,53.19459905,137.8786385,,,,,
4,2.734545455,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,4.07E-05,5.01789308,82.04010498,53.2040105,137.8872712,,,,,
4,2.835454545,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,4.25E-05,5.03134642,82.13212572,53.21321257,137.8957169,,,,,
4,2.936363636,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,4.43E-05,5.044375518,82.22210358,53.22221036,137.9039802,,,,,
4,3.037272727,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,4.62E-05,5.057003709,82.31009108,53.23100911,137.9120657,,,,,
4,3.138181818,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,4.81E-05,5.069252391,82.39614157,53.23961416,137.919978,,,,,
4,3.239090909,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,4.99E-05,5.081141248,82.4803086,53.24803086,137.927722,,,,,
4,3.34,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,5.18E-05,5.092688431,82.56264543,53.25626454,137.9353024,,,,,
4,3.440909091,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,5.37E-05,5.103910719,82.64320467,53.26432047,137.9427238,,,,,
4,3.541818182,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,5.56E-05,5.114823665,82.72203802,53.2722038,137.9499907,,,,,
4,3.642727273,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,5.76E-05,5.12544171,82.79919608,53.27991961,137.9571078,,,,,
4,3.743636364,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,5.95E-05,5.135778295,82.87472822,53.28747282,137.9640793,,,,,
4,3.844545455,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,6.14E-05,5.145845954,82.94868247,53.29486825,137.9709095,,,,,
4,3.945454545,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,6.34E-05,5.155656395,83.02110547,53.30211055,137.9776026,,,,,
4,4.046363636,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,6.53E-05,5.165220574,83.09204245,53.30920424,137.9841625,,,,,
4,4.147272727,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,6.73E-05,5.174548762,83.1615372,53.31615372,137.9905933,,,,,
4,4.248181818,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,6.92E-05,5.183650598,83.22963208,53.32296321,137.9968985,,,,,
4,4.349090909,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,7.12E-05,5.192535148,83.29636806,53.32963681,138.0030818,,,,,
4,4.45,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,7.32E-05,5.201210946,83.36178468,53.33617847,138.0091468,,,,,
4,4.550909091,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,7.52E-05,5.209686036,83.42592013,53.34259201,138.0150969,,,,,
4,4.651818182,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,7.71E-05,5.217968015,83.48881129,53.34888113,138.0209352,,,,,
4,4.752727273,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,7.91E-05,5.226064057,83.55049373,53.35504937,138.0266651,,,,,
4,4.853636364,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,8.11E-05,5.233980955,83.61100177,53.36110018,138.0322894,,,,,
4,4.954545455,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,8.31E-05,5.24172514,83.67036852,53.36703685,138.0378112,,,,,
4,5.055454545,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,8.51E-05,5.249302712,83.72862592,53.37286259,138.0432333,,,,,
4,5.156363636,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,8.71E-05,5.256719459,83.78580479,53.37858048,138.0485584,,,,,
