lambda,theta,repetition,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request
1.0,0.01,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.004188446364563073,10.499295162629359,564.7674036676865,527.4612339446145
1.0,0.02,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.005559650379717616,10.807396640261354,545.3313952470443,524.2218992078405
1.0,0.03,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.0067235784469969655,11.049412776154988,536.4236609001487,522.7372768166914
1.0,0.04,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.00777988846577226,11.252994343495168,531.5644060669929,521.9274010111652
1.0,0.05,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.008767465576872326,11.430613981736661,528.7552583562998,521.45920972605
1.0,0.060000000000000005,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.00970614354047776,11.5892170162133,527.1373612970639,521.1895602161775
1.0,0.06999999999999999,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01060758362665266,11.733146507022575,526.2721026545021,521.045350442417
1.0,0.08,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.011479288355972138,11.865330858170534,525.9098329265112,520.9849721544185
1.0,0.09,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.0123263974511036,11.987853181719045,525.8973681755396,520.9828946959233
1.0,0.09999999999999999,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.013152599748384211,12.10225613022786,526.1353678136713,521.0225613022787
1.0,0.11,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.013960639981784522,12.209718642747548,526.5566131755414,521.0927688625902
1.0,0.12,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01475262025991161,12.311164834820143,527.1140659151077,521.1856776525184
1.0,0.13,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.015530189228353015,12.40733437785996,527.773901594106,521.2956502656839
1.0,0.14,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.016294665967907577,12.498829794266046,528.5112465622536,521.4185410937091
1.0,0.15000000000000002,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.017047124067633767,12.586149284219971,529.3074642109987,521.5512440351661
1.0,0.16,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.017788450391147282,12.669710141135338,530.1483693803477,521.6913948967244
1.0,0.17,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.018519387203424383,12.749865849489783,531.0230198874544,521.8371699812424
1.0,0.18000000000000002,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01924056303311742,12.82691882556882,531.922878526545,521.9871464210909
1.0,0.19,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.019952515714311395,12.90113008179277,532.8412195347217,522.1402032557869
1.0,0.2,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.020655709877770902,12.972726673597025,533.7727003118663,522.2954500519777
1.0,0.21000000000000002,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.021350550425575248,13.041907518538943,534.7130472495818,522.4521745415968
1.0,0.22,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.02203739304859796,13.108848000866457,535.658821855991,522.609803642665
1.0,0.23,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.02271655253302187,13.173703656520775,536.6072443458943,522.7678740576489
1.0,0.24000000000000002,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.023388309390726954,13.2366131526442,537.5560589873784,522.9260098312296
1.0,0.25,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.024052915202982722,13.297700719295875,538.5034302104267,523.0839050350711
1.0,0.26,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.02471059696509677,13.357078151145286,539.4478616629581,523.2413102771598
1.0,0.27,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.025361560647259696,13.414846468192254,540.3881325812371,523.3980220968728
