lambda,theta,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request
0.5,0.01,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.248632256177332,98.03324174871464,56.12684696518642
0.5,0.02,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.37345763558824,90.45177890900402,57.34163705115274
0.5,0.03,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.5474151059912,87.06899628697491,54.68978356496558
0.5,0.04,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.6276164095699786,84.74194496930139,56.34283479721243
0.5,0.05,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.6946193379027363,81.15382781339866,53.231400441206084
0.5,0.060000000000000005,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.8463507043905487,81.8208645364394,55.81566158548577
0.5,0.06999999999999999,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.880300509680576,80.18161255218155,54.83195716073321
0.5,0.08,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.789204613259704,76.30195932379179,52.887455765040535
0.5,0.09,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.9673006024107336,81.05787343938798,57.6033356957305
0.5,0.09999999999999999,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.10673918731528,78.44149152646794,55.15860285769532
0.5,0.11,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.271864154381023,77.96751968683122,54.05318544599181
0.5,0.12,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.165141583850714,78.31475545857442,55.60655714915547
0.5,0.13,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.189100156452985,78.63672801756157,55.654343763776055
0.5,0.14,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.3392047055469556,76.3776780618127,53.566945445381336
0.5,0.15000000000000002,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.4442384318305344,77.38516620849076,54.16491116974789
0.5,0.16,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.464486038459373,76.462743461198,54.72878905911837
0.5,0.17,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.343328016759531,75.11123732064397,54.05971247024853
0.5,0.18000000000000002,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.5064249209450646,75.92192773333393,53.76308178912584
0.5,0.19,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.4967743460272933,77.34599953857193,54.69589396208322
0.5,0.2,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.655015442579758,74.54160947185838,51.87980914740357
0.5,0.21000000000000002,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.6509947947378993,74.17495665039316,52.65408323601583
0.5,0.22,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.5687938453711325,76.33106940304303,55.27993264572418
0.5,0.23,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.5965812098273178,74.0029298019105,53.37633229564475
0.5,0.24000000000000002,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.690808490817375,75.61111256848369,54.91711625871118
0.5,0.25,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.7145365361468925,74.13568361904785,52.97731922022819
