lambda,theta,repetition,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request
15.0,0.01,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.017014407494579484,2.024721716621151,46.42764632149892,50.6427646321499
15.0,0.02,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.019239772698053333,2.04522981957696,46.10602564288985,50.61060256428898
15.0,0.03,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.021243879256078235,2.0632748162911287,45.905649520505044,50.590564952050485
15.0,0.04,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.023096940696814047,2.079596880282832,45.770773820505404,50.57707738205052
15.0,0.05,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.024837583612402063,2.094610048704546,45.676602922272785,50.56766029222726
15.0,0.060000000000000005,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.026489869304208873,2.1085787643155394,45.60990282296939,50.56099028229696
15.0,0.06999999999999999,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.028070039539827216,2.121686034304289,45.56279013962434,50.556279013962495
15.0,0.08,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.02958969595762051,2.134065590317871,45.53020560061215,50.553020560061235
15.0,0.09,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.031057482808465035,2.145819099213258,45.5087215258341,50.55087215258342
15.0,0.09999999999999999,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.03248005526459906,2.157026218096457,45.49591763337592,50.549591763337574
15.0,0.11,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.03386267315640726,2.1677508637654554,45.49002826868764,50.54900282686875
15.0,0.12,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.035209583714688235,2.178045323771822,45.48973081629777,50.5489730816298
15.0,0.13,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.03652427850589188,2.1879530628860953,45.494012607439686,50.549401260744
15.0,0.14,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.037809671799453035,2.197510703139247,45.50208387316466,50.550208387316445
15.0,0.15000000000000002,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.039068227943118906,2.206749459742874,45.51331892647665,50.551331892647674
15.0,0.16,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.04030205454872609,2.2156962069765815,45.52721530377484,50.55272153037748
15.0,0.17,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.041512972105423124,2.224374285407117,45.54336469829346,50.554336469829344
15.0,0.18000000000000002,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.04270256694216602,2.2328041239456704,45.56143184981329,50.55614318498131
15.0,0.19,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.043872232176478586,2.2410037265921443,45.58113893160754,50.55811389316076
15.0,0.2,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.04502319983107868,2.248989058480878,45.60225381581974,50.56022538158197
15.0,0.21000000000000002,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.04615656634802822,2.256774355770001,45.62458112639046,50.56245811263909
15.0,0.22,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.04727331309268376,2.264372377100046,45.647955328955526,50.56479553289556
15.0,0.23,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0483743230040959,2.27179460963857,45.67223533158754,50.56722353315881
15.0,0.24000000000000002,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.04946039424492064,2.2790514394125183,45.6973002213389,50.5697300221339
15.0,0.25,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.05053225148892397,2.2861522932582363,45.723045865164735,50.57230458651647
15.0,0.26,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.05159055532936019,2.2931057579947183,45.749382176050254,50.57493821760505
15.0,0.27,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.052635910178591636,2.2999196811558646,45.77623089633518,50.57762308963354
15.0,0.28,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.05366887094582111,2.3066012566697767,45.80352378696361,50.580352378696375
15.0,0.29000000000000004,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.05468994871732522,2.3131570981576717,45.831201138108405,50.58312011381084
15.0,0.3,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0556996156163473,2.319593301979388,45.85921053628877,50.585921053628894
15.0,0.31,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0566983089836321,2.3259155017315893,45.88750583773193,50.5887505837732
15.0,0.32,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.05768643499181747,2.332128915578145,45.91604630873566,50.59160463087357
15.0,0.33,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.058664371785100304,2.3382383875351542,45.94479590213301,50.59447959021326
15.0,0.34,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0596324722186902,2.3442484236308085,45.97372264535817,50.59737226453584
15.0,0.35000000000000003,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.060591066258974376,2.3501632236981918,46.00279812054041,50.60027981205405
15.0,0.36000000000000004,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.06154046309472261,2.355986709430148,46.03199702089977,50.60319970208999
15.0,0.37,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.06248095300098102,2.361722549220344,46.06129677071928,50.60612967707198
15.0,0.38,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.06341280899035455,2.3673741802297608,46.09067719854602,50.609067719854636
15.0,0.39,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.06433628828081506,2.372944828048725,46.12012025515853,50.61201202551588
15.0,0.4,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.06525163360446733,2.3784375242670905,46.149609769340216,50.614960976933986
15.0,0.41000000000000003,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.06615907437801587,2.3838551222185926,46.17913123571392,50.61791312357142
15.0,0.42000000000000004,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.06705882775245835,2.3892003111257947,46.20867162986386,50.62086716298639
15.0,0.43,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.06795109955705052,2.3944756288400693,46.23821924677323,50.62382192467735
15.0,0.44,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0688360851503346,2.399683473343209,46.267763559245786,50.62677635592457
15.0,0.45,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.06971397018923807,2.404826113154594,46.2972950935159,50.629729509351556
15.0,0.46,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.07058493132581005,2.4099056967686017,46.32680531968929,50.632680531969
15.0,0.47000000000000003,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.07144913683974001,2.414924261230109,46.35628655501445,50.63562865550145
15.0,0.48000000000000004,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.07230674721386195,2.4198837399425224,46.38573187829252,50.638573187829266
15.0,0.49,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0731579156587995,2.42478596979021,46.415135053974595,50.64151350539751
