lambda,theta,repetition,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request
5,0.01,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,7.45E-10,2.060931338,55.84214797,51.5842148
5,0.02,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.73E-09,2.105661087,54.26424677,51.42642468
5,0.03,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,2.96E-09,2.143924441,53.43294782,51.34329478
5,0.04,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,4.44E-09,2.178014715,52.9060668,51.29060668
5,0.05,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,6.15E-09,2.209056019,52.54336116,51.25433612
5,0.06,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,8.10E-09,2.23772072,52.28223721,51.22822372
5,0.07,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.03E-08,2.264455975,52.08941601,51.2089416
5,0.08,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.27E-08,2.28957986,51.94516922,51.19451692
5,0.09,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.54E-08,2.313329496,51.83689206,51.18368921
5,0.1,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.83E-08,2.335887911,51.75607689,51.17560769
5,0.11,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,2.15E-08,2.357400236,51.69673499,51.1696735
5,0.12,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,2.50E-08,2.377984052,51.65450828,51.16545083
5,0.13,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,2.87E-08,2.397736318,51.62613854,51.16261385
5,0.14,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,3.28E-08,2.416738173,51.60913483,51.16091348
5,0.15,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,3.71E-08,2.435058372,51.60155659,51.16015566
5,0.16,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,4.17E-08,2.452755809,51.60186762,51.16018676
5,0.17,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,4.66E-08,2.469881407,51.60883475,51.16088348
5,0.18,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,5.18E-08,2.486479559,51.62145613,51.16214561
5,0.19,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,5.73E-08,2.502589253,51.63890902,51.1638909
5,0.2,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,6.32E-08,2.518244955,51.66051148,51.16605115
5,0.21,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,6.94E-08,2.533477308,51.68569341,51.16856934
5,0.22,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,7.59E-08,2.548313708,51.71397467,51.17139747
5,0.23,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,8.28E-08,2.562778763,51.7449481,51.17449481
5,0.24,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,9.01E-08,2.576894675,51.77826627,51.17782663
5,0.25,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,9.77E-08,2.590681556,51.81363113,51.18136311
5,0.26,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.06E-07,2.604157697,51.85078559,51.18507856
5,0.27,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.14E-07,2.617339784,51.88950695,51.18895069
5,0.28,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.23E-07,2.630243092,51.92960139,51.19296014
5,0.29,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.32E-07,2.642881646,51.97089961,51.19708996
5,0.3,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.42E-07,2.655268356,52.01325319,51.20132532
5,0.31,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.51E-07,2.667415139,52.05653155,51.20565315
5,0.32,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.62E-07,2.679333023,52.10061947,51.21006195
5,0.33,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.73E-07,2.691032233,52.14541501,51.2145415
5,0.34,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.84E-07,2.702522274,52.19082769,51.21908277
5,0.35,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.96E-07,2.713811996,52.23677707,51.22367771
