lambda,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,best_theta_blocking_ratios,best_blocking_ratios_value,best_theta_latency,best_latency_value,best_theta_ram_usage_per_request,best_ram_usage_per_request_value,best_theta_cpu_usage_per_request,best_cpu_usage_per_request_value
0.01,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.650184035,3.387070707,61.47050311,3.79030303,29.10503442
0.110909091,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.633954757,3.941515152,73.31366771,1.320505051,47.99912551
0.211818182,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.436388725,3.639090909,75.30445938,2.580606061,50.31410613
0.312727273,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.272125245,4.143131313,71.43319443,4.143131313,47.12571842
0.413636364,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.318119458,0.715656566,73.87676504,3.639090909,49.51174016
0.514545455,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.120507364,1.169292929,71.82629254,1.169292929,50.00587551
0.615454545,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.159735577,0.514040404,70.32326539,1.975757576,50.30492131
0.716363636,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.285306395,0.413232323,67.56167799,4.798383838,50.51410364
0.817272727,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.109476416,0.362828283,66.41114077,2.631010101,50.41925315
0.918181818,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.219123632,0.211616162,64.89573233,4.344747475,50.49488125
1.019090909,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.183396817,0.161212121,64.13388871,1.018080808,50.84186038
1.12,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.191801487,0.514040404,63.30059469,0.514040404,50.32513843
1.220909091,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.161627754,0.211616162,62.31791707,2.782222222,50.14106135
1.321818182,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.200164222,0.161212121,60.83600578,0.161212121,50.23885398
1.422727273,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.129453719,0.312424242,61.27758666,1.522121212,51.00979367
1.523636364,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.095887981,0.161212121,60.97887326,1.21969697,51.10448791
1.624545455,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.074992653,0.262020202,59.23832172,0.262020202,50.03993782
1.725454545,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.089553326,0.110808081,59.34570884,0.463636364,50.81462556
1.826363636,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.089105764,0.262020202,58.46200876,1.723737374,50.34400642
1.927272727,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.144322076,0.312424242,57.25889606,0.514040404,50.46180309
2.028181818,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.156986554,0.262020202,58.23898664,1.471717172,50.68564005
2.129090909,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.108024123,0.211616162,57.20913918,0.413232323,50.8384712
2.23,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.118519451,0.262020202,56.61919517,0.362828283,50.56494467
2.330909091,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.07540157,0.161212121,56.05092331,0.161212121,50.33518569
2.431818182,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.13495575,0.110808081,56.28965226,0.362828283,50.3736118
2.532727273,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.126058781,0.161212121,55.75816563,3.538282828,50.64882901
2.633636364,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.051071982,0.161212121,55.44531343,0.312424242,50.42602309
2.734545455,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.071669998,0.110808081,55.39308807,1.874949495,50.17265793
2.835454545,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.118721758,0.161212121,55.59943991,1.21969697,50.79398322
2.936363636,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.098521987,0.110808081,55.31698473,0.766060606,50.7792004
3.037272727,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.0762025,0.161212121,54.58121969,1.21969697,50.17178303
3.138181818,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.104877034,0.110808081,54.35319876,0.110808081,50.57630805
3.239090909,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.090531161,0.312424242,53.93172297,0.110808081,50.36242574
3.34,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.05892085,0.211616162,53.66704721,0.413232323,50.43433879
