request_id,image,send_time,success,warm,processing_time_s,response_time_s
1,000000000139.jpg,1776414101.0083067,True,,1.71,1.715168
2,000000000285.jpg,1776414102.7235703,True,,2.1,2.106872
3,000000000632.jpg,1776414104.8305912,True,,1.9,1.994745
4,000000000724.jpg,1776414106.825562,True,,1.89,1.901556
5,000000000776.jpg,1776414108.7272046,True,,1.79,1.796972
6,000000000785.jpg,1776414110.524258,True,,1.79,1.80022
7,000000000802.jpg,1776414112.3245597,True,,1.79,1.801535
8,000000000872.jpg,1776414114.1261785,True,,2.39,2.397908
9,000000000885.jpg,1776414116.524176,True,,1.7,1.798793
10,000000001000.jpg,1776414118.3230474,True,,1.7,1.703834
11,000000001268.jpg,1776414120.0269804,True,,1.79,1.800426
12,000000001296.jpg,1776414121.8274999,True,,1.79,1.799296
13,000000001353.jpg,1776414123.6268787,True,,1.9,1.903054
14,000000001425.jpg,1776414125.530018,True,,1.89,1.898425
15,000000001490.jpg,1776414127.4285376,True,,1.29,1.300416
16,000000001503.jpg,1776414128.7290432,True,,1.79,1.797505
17,000000001532.jpg,1776414130.5266378,True,,1.99,1.998027
18,000000001584.jpg,1776414132.524746,True,,2.29,2.301666
19,000000001675.jpg,1776414134.8264987,True,,1.8,1.803568
20,000000001761.jpg,1776414136.6301498,True,,1.79,1.79656
21,000000001818.jpg,1776414138.4267924,True,,1.79,1.798038
22,000000001993.jpg,1776414140.224924,True,,1.79,1.801295
23,000000002006.jpg,1776414142.0263054,True,,1.89,1.897671
24,000000002149.jpg,1776414143.9240627,True,,1.79,1.800794
25,000000002153.jpg,1776414145.7249568,True,,1.89,1.901886
26,000000002157.jpg,1776414147.626946,True,,1.79,1.796939
27,000000002261.jpg,1776414149.4239857,True,,1.7,1.707594
28,000000002299.jpg,1776414151.1316695,True,,1.59,1.596064
29,000000002431.jpg,1776414152.7278192,True,,1.89,1.898941
30,000000002473.jpg,1776414154.6268404,True,,1.79,1.798908
31,000000002532.jpg,1776414156.4258308,True,,1.89,1.901253
32,000000002587.jpg,1776414158.3271677,True,,1.89,1.900137
33,000000002592.jpg,1776414160.2273893,True,,1.49,1.502326
34,000000002685.jpg,1776414161.7298367,True,,2.19,2.196645
35,000000002923.jpg,1776414163.9265716,True,,1.89,1.900709
36,000000003156.jpg,1776414165.8273687,True,,1.99,1.997504
37,000000003255.jpg,1776414167.824977,True,,1.59,1.598511
38,000000003501.jpg,1776414169.4235706,True,,2.4,2.40307
39,000000003553.jpg,1776414171.8267255,True,,1.79,1.799598
40,000000003661.jpg,1776414173.6264071,True,,1.49,1.500844
41,000000003845.jpg,1776414175.1273413,True,,1.89,1.899708
42,000000003934.jpg,1776414177.027135,True,,1.99,2.000169
43,000000004134.jpg,1776414179.0273957,True,,1.49,1.498284
44,000000004395.jpg,1776414180.525768,True,,1.49,1.498042
45,000000004495.jpg,1776414182.0238948,True,,1.9,1.904209
46,000000004765.jpg,1776414183.9282036,True,,1.89,1.895315
47,000000004795.jpg,1776414185.8236105,True,,1.4,1.403508
48,000000005001.jpg,1776414187.227207,True,,1.79,1.800587
49,000000005037.jpg,1776414189.0278852,True,,1.89,1.89926
50,000000005060.jpg,1776414190.9272354,True,,1.99,1.99865
51,000000005193.jpg,1776414192.9259872,True,,1.8,1.803962
52,000000005477.jpg,1776414194.7300336,True,,1.59,1.597781
53,000000005503.jpg,1776414196.3279183,True,,1.79,1.798777
54,000000005529.jpg,1776414198.1267877,True,,1.99,1.997087
55,000000005586.jpg,1776414200.1239684,True,,2.09,2.101774
56,000000005600.jpg,1776414202.2258282,True,,1.7,1.703135
57,000000005992.jpg,1776414203.9290435,True,,1.99,1.997834
58,000000006012.jpg,1776414205.926973,True,,2.29,2.299336
59,000000006040.jpg,1776414208.2264009,True,,1.3,1.302954
60,000000006213.jpg,1776414209.5294452,True,,1.79,1.797429
61,000000006460.jpg,1776414211.326977,True,,1.39,1.399686
62,000000006471.jpg,1776414212.7267513,True,,1.79,1.799052
63,000000006614.jpg,1776414214.525893,True,,2.09,2.098894
64,000000006723.jpg,1776414216.6248882,True,,1.59,1.599606
65,000000006763.jpg,1776414218.2245803,True,,1.99,2.00021
66,000000006771.jpg,1776414220.2248785,True,,1.8,1.802836
67,000000006818.jpg,1776414222.0278094,True,,1.39,1.397931
68,000000006894.jpg,1776414223.4258294,True,,1.49,1.502389
69,000000006954.jpg,1776414224.9283113,True,,1.59,1.594919
70,000000007088.jpg,1776414226.5233164,True,,1.79,1.800262
71,000000007108.jpg,1776414228.323672,True,,1.3,1.303103
72,000000007278.jpg,1776414229.626864,True,,1.49,1.502114
73,000000007281.jpg,1776414231.1290617,True,,1.19,1.198335
74,000000007386.jpg,1776414232.327492,True,,1.39,1.398759
75,000000007511.jpg,1776414233.7263365,True,,1.99,1.999796
76,000000007574.jpg,1776414235.7262208,True,,1.89,1.900626
77,000000007784.jpg,1776414237.626949,True,,2.09,2.098203
78,000000007795.jpg,1776414239.725242,True,,1.8,1.802525
79,000000007816.jpg,1776414241.527859,True,,1.7,1.703861
80,000000007818.jpg,1776414243.2318053,True,,1.79,1.792619
81,000000007888.jpg,1776414245.0245118,True,,2.49,2.501767
82,000000007977.jpg,1776414247.526365,True,,1.79,1.798626
83,000000007991.jpg,1776414249.32508,True,,1.5,1.504046
84,000000008021.jpg,1776414250.829213,True,,1.8,1.898443
85,000000008211.jpg,1776414252.7277496,True,,1.99,1.996509
86,000000008277.jpg,1776414254.724347,True,,2.0,2.00416
87,000000008532.jpg,1776414256.728591,True,,1.19,1.200816
88,000000008629.jpg,1776414257.9294887,True,,2.01,2.100453
89,000000008690.jpg,1776414260.030033,True,,1.99,1.995921
90,000000008762.jpg,1776414262.026041,True,,1.89,1.898191
91,000000008844.jpg,1776414263.924319,True,,1.89,1.899922
92,000000008899.jpg,1776414265.8243315,True,,2.0,2.004442
93,000000009378.jpg,1776414267.828862,True,,1.79,1.798975
94,000000009400.jpg,1776414269.627946,True,,1.99,1.999859
95,000000009448.jpg,1776414271.627936,True,,2.49,2.497502
96,000000009483.jpg,1776414274.1255226,True,,1.79,1.802002
97,000000009590.jpg,1776414275.927611,True,,1.69,1.701645
98,000000009769.jpg,1776414277.629339,True,,1.8,1.897311
99,000000009772.jpg,1776414279.5267358,True,,2.29,2.30034
100,000000009891.jpg,1776414281.8271673,True,,1.99,1.998637
101,000000009914.jpg,1776414283.8258958,True,,1.99,1.99885
102,000000010092.jpg,1776414285.824845,True,,1.89,1.899894
103,000000010363.jpg,1776414287.724819,True,,1.59,1.601847
104,000000010583.jpg,1776414289.3267553,True,,2.39,2.40258
105,000000010707.jpg,1776414291.729439,True,,1.99,1.995499
106,000000010764.jpg,1776414293.7250278,True,,1.99,2.000926
107,000000010977.jpg,1776414295.7260408,True,,1.9,1.903582
108,000000010995.jpg,1776414297.629714,True,,1.89,1.8971
109,000000011051.jpg,1776414299.5269234,True,,2.19,2.198186
110,000000011122.jpg,1776414301.7252028,True,,1.99,2.000088
111,000000011149.jpg,1776414303.7253745,True,,1.89,1.899078
112,000000011197.jpg,1776414305.6245365,True,,1.79,1.799985
113,000000011511.jpg,1776414307.4246104,True,,1.9,1.903199
114,000000011615.jpg,1776414309.3279104,True,,1.89,1.898642
115,000000011699.jpg,1776414311.2266378,True,,1.89,1.902336
116,000000011760.jpg,1776414313.1290605,True,,1.89,1.897444
117,000000011813.jpg,1776414315.0265946,True,,1.79,1.800324
118,000000012062.jpg,1776414316.8270097,True,,1.79,1.799552
119,000000012120.jpg,1776414318.6266503,True,,1.8,1.803294
120,000000012280.jpg,1776414320.4300365,True,,1.99,1.998005
121,000000012576.jpg,1776414322.4281325,True,,1.99,1.999161
122,000000012639.jpg,1776414324.4273818,True,,1.59,1.599528
123,000000012667.jpg,1776414326.0269942,True,,1.49,1.500191
124,000000012670.jpg,1776414327.5272758,True,,1.79,1.797116
125,000000012748.jpg,1776414329.3244796,True,,1.49,1.498603
126,000000013004.jpg,1776414330.8231661,True,,1.79,1.802201
127,000000013177.jpg,1776414332.6254508,True,,1.89,1.898994
128,000000013201.jpg,1776414334.524531,True,,1.99,2.00088
129,000000013291.jpg,1776414336.5255046,True,,1.8,1.804534
130,000000013348.jpg,1776414338.330123,True,,1.39,1.396608
131,000000013546.jpg,1776414339.726819,True,,1.5,1.503824
132,000000013597.jpg,1776414341.2307272,True,,1.89,1.896632
133,000000013659.jpg,1776414343.1274483,True,,1.99,1.997291
134,000000013729.jpg,1776414345.124826,True,,2.0,2.003328
135,000000013774.jpg,1776414347.1282418,True,,1.5,1.502889
136,000000013923.jpg,1776414348.6312177,True,,1.79,1.795199
137,000000014007.jpg,1776414350.4265077,True,,1.79,1.800147
138,000000014038.jpg,1776414352.2267587,True,,1.79,1.797211
139,000000014226.jpg,1776414354.0240514,True,,1.89,1.900671
140,000000014380.jpg,1776414355.9248068,True,,1.79,1.799617
141,000000014439.jpg,1776414357.7245052,True,,1.59,1.602089
142,000000014473.jpg,1776414359.3266776,True,,1.79,1.797984
143,000000014831.jpg,1776414361.1247404,True,,1.89,1.900808
144,000000014888.jpg,1776414363.025633,True,,1.89,1.902217
145,000000015079.jpg,1776414364.9279501,True,,1.79,1.798473
146,000000015254.jpg,1776414366.726509,True,,1.69,1.697058
147,000000015272.jpg,1776414368.4236493,True,,1.7,1.705773
148,000000015278.jpg,1776414370.1295037,True,,2.09,2.095319
